revision,source_sha256,expanded_bytes,expanded_mapper,expanded_rom_banks,expanded_sram_bytes,bridge_low,bridge_high,expanded_sha256
Rev 0,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,8388608,MBC5+RAM+BATTERY,512,131072,0x0068,0x006D,e1b4df8525b28f0b6fe18550815b3c91c38efe7c91b5ccae330b7344fe9beb99
Rev A,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,8388608,MBC5+RAM+BATTERY,512,131072,0x0068,0x006D,93ff1f26e83ed3316d7c360debdca2dcaa2d0fbbc3e897bfd9cffa186ca1cafc
