revision,source_save_sha256,paired_rom_sha256,expanded_bytes,legacy_bytes_preserved,party_count,party_internal_id_0,party_species_id_0,party_form_id_0,payload_crc32,expanded_sha256
Rev 0,34cf10beeb0a9a2659178ce1a809f25ccabcdee32468171147068da916ad556b,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,131072,true,1,0x99,1,0,0x22E4AF07,498a572350f4b8f39e3b6e3f8ca3dcae2ec2be46f4b44bbfce816751f2e2a01a
Rev A,b59e8c4eb1e0ac8b0bfeb859c322d5c2402c259be616a0a2a7f2ffcae1cc2fb2,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,131072,true,1,0x99,1,0,0x22E4AF07,40a8cd33d183f81144fc90bbb4ff1928c94fbe419d38f1d307137a903b8a8fa4
